examQID,examQ Score1,examQ Score2,examQ Score3,examQ Score4
111,46,51,31,39
112,41,46,31,49
113,54,40,34,60
114,37,36,36,52
115,54,36,59,40
116,34,32,52,56
117,52,32,31,50
118,38,48,58,41
121,57,47,60,35
122,46,30,50,50
123,31,46,34,38
124,60,58,60,54
125,48,53,54,42
126,46,60,30,35
127,39,50,36,31
128,45,32,43,60
131,34,56,51,35
132,31,48,32,41
133,50,38,48,53
134,43,38,36,47
135,40,43,34,42
136,37,43,53,53
137,31,59,36,41
138,31,49,52,50
141,33,40,51,31
142,35,46,56,30
143,30,40,36,30
144,41,54,47,38
145,44,30,43,49
146,41,51,47,55
147,31,43,36,41
148,40,50,49,47
151,35,42,33,32
152,42,40,55,35
153,32,38,57,35
154,35,60,54,39
155,46,52,44,53
156,37,55,50,35
157,37,48,32,52
158,32,38,36,57
161,52,50,37,46
162,47,52,59,52
163,53,55,32,45
164,48,36,42,51
165,50,55,49,45
166,35,43,39,38
167,57,60,34,33
168,37,35,52,42
171,36,30,41,59
172,54,57,49,59
173,40,60,58,56
174,30,38,30,45
175,36,39,32,44
176,55,57,39,49
177,33,53,54,55
178,41,57,55,38
181,33,45,57,48
182,39,33,36,55
183,50,45,49,56
184,48,46,58,56
185,37,41,50,53
186,60,34,38,57
187,30,58,51,42
188,52,37,56,39
191,30,51,43,38
192,50,53,31,49
193,32,41,34,60
194,59,35,54,47
195,35,57,54,49
196,31,31,51,38
197,46,35,55,42
198,36,36,33,37
201,42,49,44,35
202,33,56,47,51
203,35,31,45,40
204,52,34,55,49
205,51,47,45,36
206,34,36,58,52
207,41,53,35,33
208,55,45,59,32
211,38,44,52,37
212,41,43,43,48
213,32,48,43,50
214,30,59,37,36
215,31,37,48,36
216,56,32,54,38
217,44,54,31,32
218,49,33,37,48
221,37,38,33,49
222,44,45,31,57
223,32,32,45,50
224,57,36,55,47
225,50,43,59,55
226,51,41,36,55
227,41,45,43,43
228,42,56,55,31
231,47,39,35,49
232,32,31,36,39
233,44,30,30,30
234,37,41,42,41
235,55,41,46,60
236,31,55,31,52
237,32,42,52,51
238,46,47,38,55
241,33,39,37,38
242,49,44,37,48
243,35,58,30,35
244,51,52,60,45
245,46,45,39,36
246,33,38,34,36
247,49,42,31,38
248,36,46,32,41
251,37,38,48,50
252,55,49,35,55
253,42,41,38,39
254,55,54,32,30
255,33,38,44,35
256,53,36,57,59
257,47,59,42,37
258,48,32,56,48
261,33,57,41,52
262,60,53,40,34
263,53,43,55,41
264,40,35,49,41
265,49,34,32,32
266,52,45,32,41
267,43,41,34,53
268,60,45,60,30
271,31,31,30,56
272,54,55,46,44
273,32,56,34,57
274,55,43,45,45
275,52,40,48,44
276,58,44,49,45
277,39,56,48,53
278,49,58,59,31
281,59,35,54,41
282,39,58,39,51
283,33,55,43,49
284,32,49,30,49
285,58,45,47,33
286,58,33,44,46
287,30,33,35,48
288,58,40,42,39
291,56,36,42,41
292,52,44,60,48
293,49,33,41,51
294,39,54,54,37
295,58,52,59,54
296,35,50,59,47
297,34,32,52,42
298,43,33,37,53
301,53,40,31,35
302,57,41,35,55
303,30,45,31,53
304,55,43,37,30
305,43,53,45,53
306,45,40,55,55
