remedialID,previousQscore,remedialScore,examName
1,3,52, 4th Quarter Exam 
2,15,58, 1st Quarter Exam 
3,18,45, 1st Quarter Exam 
4,7,60, 3rd Quarter Exam 
5,26,37, 1st Quarter Exam 
6,18,46, 2nd Quarter Exam 
7,3,43, 4th Quarter Exam 
8,28,38, 4th Quarter Exam 
9,23,50, 3rd Quarter Exam 
10,26,36, 1st Quarter Exam 
11,3,44, 1st Quarter Exam 
12,16,60, 2nd Quarter Exam 
13,25,52, 3rd Quarter Exam 
14,3,40, 1st Quarter Exam 
15,29,58, 4th Quarter Exam 
16,10,49, 3rd Quarter Exam 
17,15,47, 3rd Quarter Exam 
18,3,44, 1st Quarter Exam 
19,11,44, 4th Quarter Exam 
20,19,34, 3rd Quarter Exam 
21,25,39, 4th Quarter Exam 
22,22,50, 2nd Quarter Exam 
23,17,36, 1st Quarter Exam 
24,22,60, 4th Quarter Exam 
25,5,32, 1st Quarter Exam 
26,25,51, 1st Quarter Exam 
27,0,48, 2nd Quarter Exam 
28,13,54, 4th Quarter Exam 
29,4,39, 2nd Quarter Exam 
30,25,39, 3rd Quarter Exam 
31,23,54, 4th Quarter Exam 
32,8,53, 3rd Quarter Exam 
33,23,49, 3rd Quarter Exam 
34,13,56, 3rd Quarter Exam 
35,2,41, 1st Quarter Exam 
36,7,45, 2nd Quarter Exam 
37,2,44, 2nd Quarter Exam 
38,24,33, 3rd Quarter Exam 
39,3,37, 2nd Quarter Exam 
40,26,33, 1st Quarter Exam 
41,0,49, 4th Quarter Exam 
42,28,48, 3rd Quarter Exam 
43,23,57, 1st Quarter Exam 
44,14,39, 1st Quarter Exam 
45,29,34, 1st Quarter Exam 
46,16,40, 4th Quarter Exam 
47,20,42, 4th Quarter Exam 
48,6,53, 3rd Quarter Exam 
49,11,42, 3rd Quarter Exam 
50,6,34, 2nd Quarter Exam 
51,21,52, 4th Quarter Exam 
52,4,38, 3rd Quarter Exam 
53,23,54, 3rd Quarter Exam 
54,29,50, 3rd Quarter Exam 
55,18,46, 3rd Quarter Exam 
56,3,46, 2nd Quarter Exam 
57,25,41, 1st Quarter Exam 
58,26,50, 2nd Quarter Exam 
59,28,37, 2nd Quarter Exam 
60,26,35, 1st Quarter Exam 
61,12,30, 3rd Quarter Exam 
62,11,52, 1st Quarter Exam 
63,6,31, 4th Quarter Exam 
64,5,46, 3rd Quarter Exam 
65,14,56, 1st Quarter Exam 
66,8,57, 3rd Quarter Exam 
67,11,44, 1st Quarter Exam 
68,10,43, 3rd Quarter Exam 
69,4,32, 4th Quarter Exam 
70,24,43, 2nd Quarter Exam 
71,9,53, 4th Quarter Exam 
72,9,37, 4th Quarter Exam 
73,19,37, 2nd Quarter Exam 
74,23,41, 3rd Quarter Exam 
75,24,37, 1st Quarter Exam 
76,23,44, 3rd Quarter Exam 
77,17,43, 3rd Quarter Exam 
78,28,52, 1st Quarter Exam 
79,22,34, 4th Quarter Exam 
80,19,52, 4th Quarter Exam 
81,4,55, 4th Quarter Exam 
82,1,59, 2nd Quarter Exam 
83,17,51, 4th Quarter Exam 
84,14,38, 2nd Quarter Exam 
85,15,32, 3rd Quarter Exam 
86,5,33, 1st Quarter Exam 
