studentExamsID,shortExamsIndex,shortExamsID,firstQuarterScores,secondQuarterScores,thirdQuarterScores,fourthQuarterScores
1,1,11,20,8,13,19
1,2,11,17,16,12,0
1,3,11,19,20,14,5
1,4,11,13,6,7,8
2,5,12,13,14,18,18
2,6,12,9,9,17,6
2,7,12,19,13,12,5
2,8,12,20,8,8,12
3,9,13,8,9,0,4
3,10,13,5,7,4,3
3,11,13,17,18,11,9
3,12,13,12,2,0,4
4,13,14,8,1,11,8
4,14,14,7,18,3,7
4,15,14,8,18,19,1
4,16,14,10,11,14,15
5,17,15,15,13,10,17
5,18,15,7,10,20,12
5,19,15,14,9,10,20
5,20,15,12,0,12,20
6,21,16,15,2,18,4
6,22,16,3,17,10,5
6,23,16,8,16,18,15
6,24,16,14,4,14,13
7,25,17,11,3,18,14
7,26,17,3,14,19,6
7,27,17,3,18,12,17
7,28,17,5,0,2,17
8,29,18,2,4,12,12
8,30,18,2,12,15,6
8,31,18,4,18,5,9
8,32,18,11,8,9,13
9,33,21,20,19,8,16
9,34,21,15,10,1,7
9,35,21,6,14,10,18
9,36,21,1,2,12,9
10,37,22,14,5,16,14
10,38,22,8,3,17,19
10,39,22,17,10,12,20
10,40,22,18,20,9,17
11,41,23,1,17,9,20
11,42,23,2,15,1,9
11,43,23,11,11,1,8
11,44,23,8,16,18,18
12,45,24,6,15,12,19
12,46,24,7,9,11,4
12,47,24,0,8,12,8
12,48,24,4,5,11,4
13,49,25,15,13,20,6
13,50,25,9,2,7,1
13,51,25,8,14,14,0
13,52,25,20,20,13,14
14,53,26,13,0,8,4
14,54,26,6,17,16,5
14,55,26,3,10,6,0
14,56,26,10,12,19,11
15,57,27,14,0,18,3
15,58,27,0,14,14,14
15,59,27,17,8,16,4
15,60,27,18,18,16,7
16,61,28,11,8,4,5
16,62,28,20,17,12,19
16,63,28,4,3,11,9
16,64,28,17,0,0,8
17,65,31,7,14,17,20
17,66,31,7,3,9,9
17,67,31,20,15,11,3
17,68,31,4,8,8,0
18,69,32,4,8,14,2
18,70,32,17,11,3,10
18,71,32,11,9,3,3
18,72,32,9,1,4,1
19,73,33,11,16,19,10
19,74,33,15,6,4,20
19,75,33,11,12,17,11
19,76,33,5,18,16,6
20,77,34,5,13,11,1
20,78,34,7,20,10,0
20,79,34,4,15,11,12
20,80,34,4,19,13,13
21,81,35,16,7,0,13
21,82,35,4,11,0,4
21,83,35,20,19,2,7
21,84,35,2,9,12,4
22,85,36,5,7,11,20
22,86,36,8,16,0,19
22,87,36,9,14,5,8
22,88,36,8,15,13,7
23,89,37,0,10,19,7
23,90,37,12,20,10,19
23,91,37,12,17,1,8
23,92,37,11,8,0,0
24,93,38,12,11,9,5
24,94,38,20,6,19,18
24,95,38,1,8,5,11
24,96,38,13,14,3,20
25,97,41,17,13,17,4
25,98,41,11,15,18,2
25,99,41,12,20,10,14
25,100,41,11,10,0,8
26,101,42,7,14,20,1
26,102,42,14,20,15,17
26,103,42,2,4,14,4
26,104,42,14,0,10,13
27,105,43,19,5,20,6
27,106,43,7,6,12,20
27,107,43,3,11,8,16
27,108,43,2,17,2,4
28,109,44,14,2,6,20
28,110,44,11,1,4,5
28,111,44,13,14,17,5
28,112,44,19,13,14,2
29,113,45,7,15,5,4
29,114,45,11,1,20,10
29,115,45,4,17,16,18
29,116,45,16,11,10,9
30,117,46,14,10,7,6
30,118,46,1,15,1,11
30,119,46,19,8,0,8
30,120,46,10,15,3,6
31,121,47,7,13,18,1
31,122,47,9,5,0,7
31,123,47,1,8,13,2
31,124,47,14,10,18,5
32,125,48,20,10,10,17
32,126,48,4,7,7,10
32,127,48,11,19,10,6
32,128,48,6,11,6,16
33,129,51,12,14,11,7
33,130,51,5,19,14,11
33,131,51,9,10,16,1
33,132,51,7,8,11,3
34,133,52,18,13,14,13
34,134,52,16,14,9,5
34,135,52,8,19,19,2
34,136,52,12,0,15,0
35,137,53,1,9,10,18
35,138,53,4,16,3,13
35,139,53,7,16,18,11
35,140,53,9,12,0,1
36,141,54,0,3,13,3
36,142,54,2,2,7,11
36,143,54,12,6,14,17
36,144,54,0,0,16,8
37,145,55,7,7,15,14
37,146,55,20,15,14,19
37,147,55,18,4,16,5
37,148,55,20,2,3,5
38,149,56,8,1,8,0
38,150,56,13,2,18,8
38,151,56,3,1,19,15
38,152,56,18,17,8,20
39,153,57,9,14,1,10
39,154,57,15,10,19,0
39,155,57,13,8,20,11
39,156,57,12,19,12,1
40,157,58,11,6,5,6
40,158,58,7,9,10,12
40,159,58,17,17,17,7
40,160,58,12,2,9,5
41,161,61,9,10,2,10
41,162,61,14,17,8,1
41,163,61,9,1,14,14
41,164,61,2,17,6,7
42,165,62,20,1,9,6
42,166,62,13,4,12,15
42,167,62,3,7,15,2
42,168,62,20,2,20,3
43,169,63,1,1,6,7
43,170,63,3,7,18,12
43,171,63,14,9,4,1
43,172,63,20,15,5,13
44,173,64,9,5,0,8
