studentExamsID,firstQuarterAverage,secondQuarterAverage,thirdQuarterAverage,fourthQuarterAverage,overAllAverage,passCondition
1,78.58333,80.5,52.83333,60,67.979165,FAIL
2,69.91667,72.33333,55.08333,75.58333,68.229165,FAIL
3,82.5,62.33333,49.08333,85,69.729165,FAIL
4,57.58333,60,59.75,77.08333,63.604165,FAIL
5,84,56,91.66667,70.58333,75.5625,PASS
6,55.33333,52.41667,84.33333,83.91667,69,FAIL
7,74.83333,51.41667,54.08333,80.16667,65.125,FAIL
8,55.41667,74.5,87.58333,64.66667,70.5416675,FAIL
9,86.5,73.91667,87.75,59.16667,76.833335,PASS
10,75.58333,49.5,80.16667,84.16667,72.3541675,FAIL
11,46.83333,76.08333,52.58333,64.41667,59.979165,FAIL
12,84.25,86.58333,91.5,80.75,85.7708325,PASS
13,77,82.91667,85.5,61.25,76.6666675,PASS
14,69.33333,89.75,52.25,51.66667,65.75,FAIL
15,64.25,76.66667,64,48.33333,63.3125,FAIL
16,73,49.66667,64.08333,90.25,69.25,FAIL
17,54.83333,84.66667,79.25,54.66667,68.3541675,FAIL
18,51.58333,71.25,48.66667,58.66667,57.5416675,FAIL
19,77.16667,63.66667,78,82.41667,75.3125025,PASS
20,62.33333,67.41667,59.25,69.16667,64.5416675,FAIL
21,63.83333,68.83333,48.83333,63,61.1249975,FAIL
22,56.83333,70.33333,77.91667,84.16667,72.3125,FAIL
23,50.08333,92.41667,55.5,63.16667,65.2916675,FAIL
24,52.83333,75.08333,78.33333,80.16667,71.604165,FAIL
25,56.75,67.83333,79.25,48.33333,63.041665,FAIL
26,55.91667,70.83333,89.41667,48.75,66.2291675,FAIL
27,47.75,63.08333,58.5,51.5,55.2083325,FAIL
28,68.91667,79.5,72.91667,58.66667,70.0000025,FAIL
29,68.16667,51,70.08333,75.58333,66.2083325,FAIL
30,65.66667,80,65.41667,81.08333,73.0416675,FAIL
31,49.08333,66.33333,60.25,58.41667,58.5208325,FAIL
32,63.58333,78.41667,73.58333,74.91667,72.625,FAIL
33,54.91667,68.75,57,48.16667,57.208335,FAIL
34,69.5,64.83333,87.58333,51.66667,68.3958325,FAIL
35,47.91667,63.91667,83.75,57.41667,63.2500025,FAIL
36,50.16667,82.75,84.5,61.75,69.7916675,FAIL
37,77.58333,76.33333,70.66667,81.41667,76.5,PASS
38,59.83333,78.58333,79.91667,57.41667,68.9375,FAIL
39,61.58333,76.75,55.66667,74.83333,67.2083325,FAIL
40,54.41667,59.16667,58.25,83.5,63.833335,FAIL
41,77.83333,77.91667,56.83333,69.33333,70.479165,FAIL
42,76.66667,72.83333,92.66667,75.83333,79.5,PASS
43,80.16667,81.33333,50.91667,68.25,70.1666675,FAIL
44,74,58,64.5,77.25,68.4375,FAIL
45,75.66667,84.33333,72.08333,71,75.7708325,PASS
46,56.41667,66.08333,65.25,62.91667,62.6666675,FAIL
47,87.25,94,54.58333,54,72.4583325,FAIL
48,58.08333,55.16667,84.58333,68.75,66.6458325,FAIL
49,54.75,48,61.41667,93.16667,64.333335,FAIL
50,83.75,84.75,78.33333,93.41667,85.0625,PASS
51,56.58333,90.75,88.58333,85.66667,80.3958325,PASS
52,51.25,54.41667,50,67.5,55.7916675,FAIL
53,55.75,64.75,53.41667,66.41667,60.083335,FAIL
54,85.33333,89.25,55.75,76.83333,76.791665,PASS
55,53,78.41667,86,85.58333,75.75,PASS
56,62.41667,89.25,84.08333,59.66667,73.8541675,FAIL
57,56,67.5,84.25,75,70.6875,FAIL
58,59.25,54.5,58.75,79.58333,63.0208325,FAIL
59,74.16667,72.75,77.83333,78.66667,75.8541675,PASS
60,74.25,70.58333,91.83333,84.91667,80.3958325,PASS
61,60.08333,67.91667,77.41667,78.66667,71.020835,FAIL
62,92,58.83333,63.41667,85.5,74.9375,FAIL
63,46.75,88.33333,78.5,65.5,69.7708325,FAIL
64,82.08333,56.83333,81.66667,63.25,70.9583325,FAIL
65,49.25,73.25,67.83333,57.16667,61.875,FAIL
66,74.16667,88.66667,49.58333,74.33333,71.6875,FAIL
67,54.66667,64.16667,52.83333,87.25,64.7291675,FAIL
68,84.16667,57.41667,87.75,71.16667,75.1250025,PASS
69,51.66667,87.5,86.5,76.83333,75.625,PASS
70,54.08333,55.58333,81,65.41667,64.0208325,FAIL
71,78.33333,56.91667,84.33333,64.5,71.0208325,FAIL
72,57.5,57.75,53,62.08333,57.5833325,FAIL
73,66,76.83333,66.66667,60.91667,67.6041675,FAIL
74,55,86.41667,67.66667,74.75,70.958335,FAIL
75,61.66667,51.83333,70.25,58.58333,60.5833325,FAIL
76,79.83333,58.08333,86.58333,73.58333,74.52083,FAIL
77,80.5,71.41667,70.75,59.25,70.4791675,FAIL
78,50.83333,55.5,88.83333,80.08333,68.8124975,FAIL
79,69.16667,81.66667,57.41667,50.25,64.6250025,FAIL
80,84.83333,66.25,85.16667,55.66667,72.9791675,FAIL
81,54.16667,65.66667,81.08333,58.83333,64.9375,FAIL
82,63.91667,65.83333,67.08333,73.5,67.5833325,FAIL
83,56.16667,73.25,66.83333,76.16667,68.1041675,FAIL
84,46.5,88.66667,58.33333,57.25,62.6875,FAIL
85,48.08333,62.33333,71.5,63,61.229165,FAIL
86,91.16667,55.41667,88.5,53.41667,72.1250025,FAIL
87,63.66667,82,46.83333,52.16667,61.1666675,FAIL
88,76.33333,54,58.33333,73.75,65.604165,FAIL
89,60.83333,58.91667,52,76.33333,62.0208325,FAIL
90,68.91667,69.25,53.33333,83.75,68.8125,FAIL
91,52.91667,52.16667,73,76.41667,63.6250025,FAIL
92,86,59,80.58333,74.91667,75.125,PASS
93,76.41667,62.08333,88.41667,77.58333,76.125,PASS
94,78.25,66.16667,56.5,86.33333,71.8125,FAIL
95,65.41667,73.5,64.08333,65.33333,67.0833325,FAIL
96,67.75,86.91667,82.83333,46.58333,71.0208325,FAIL
97,71.91667,57,54.91667,73.58333,64.3541675,FAIL
98,52.41667,52.33333,57.25,61.25,55.8125,FAIL
99,69.91667,53.75,56.5,50.25,57.6041675,FAIL
100,57.58333,61.16667,74,67.91667,65.1666675,FAIL
101,86.08333,66.41667,68.33333,87,76.9583325,PASS
102,55.58333,79.83333,50.08333,77.08333,65.64583,FAIL
103,54.41667,61.25,73.33333,79.5,67.125,FAIL
104,71.83333,69.41667,64.66667,84.83333,72.6875,FAIL
105,56.25,59.5,52.08333,63.91667,57.9375,FAIL
106,72.83333,67.41667,63.83333,76.5,70.1458325,FAIL
107,55.16667,87.58333,58,59.66667,65.1041675,FAIL
108,79,76.33333,91.5,66.5,78.3333325,PASS
109,75.58333,68,65.5,52.5,65.3958325,FAIL
110,50.25,58.91667,54.83333,59.75,55.9375,FAIL
111,78.83333,61,55.33333,55.16667,62.5833325,FAIL
112,53.25,71.08333,52.16667,69.16667,61.4166675,FAIL
113,54.33333,56.91667,73.75,70.16667,63.7916675,FAIL
114,82.83333,71.83333,57.16667,88.83333,75.166665,PASS
115,70.25,61.66667,63.91667,60.5,64.083335,FAIL
116,82.33333,81.75,51.91667,53.75,67.4375,FAIL
117,52.25,58.66667,64.91667,59.16667,58.7500025,FAIL
118,81.41667,54,83,88.66667,76.770835,PASS
119,76.41667,90.16667,72.75,59.83333,74.7916675,FAIL
120,69.25,47.16667,81.91667,72.25,67.645835,FAIL
121,56.75,82,68.16667,79.83333,71.6875,FAIL
122,92.75,78.91667,65.58333,53.58333,72.7083325,FAIL
123,81.91667,64.58333,87.83333,68.66667,75.75,PASS
124,62.83333,58.16667,71.58333,63.66667,64.0625,FAIL
125,77.33333,53.58333,54.66667,53.66667,59.8125,FAIL
126,78.58333,70.25,52.91667,64.91667,66.6666675,FAIL
127,69.83333,67.41667,61.08333,82.91667,70.3125,FAIL
128,90.25,68.25,92,53,75.875,PASS
129,49.83333,50.33333,50.5,85.66667,59.0833325,FAIL
130,85.25,83.08333,72.33333,68.66667,77.3333325,PASS
131,49.91667,83.41667,57.33333,83.75,68.6041675,FAIL
132,85.83333,70.83333,67.75,70.25,73.666665,FAIL
133,74.83333,63.58333,76.75,69.91667,71.2708325,FAIL
134,91.08333,65.16667,79.83333,70.5,76.6458325,PASS
