studentExamsID,enrollID,subjectID,shortExamsID,examQID
1,100001,10101,11,111
2,100001,10102,12,112
3,100001,10103,13,113
4,100001,10104,14,114
5,100001,10105,15,115
6,100001,10106,16,116
7,100001,10107,17,117
8,100001,10108,18,118
9,100002,10101,21,121
10,100002,10102,22,122
11,100002,10103,23,123
12,100002,10104,24,124
13,100002,10105,25,125
14,100002,10106,26,126
15,100002,10107,27,127
16,100002,10108,28,128
17,100003,10101,31,131
18,100003,10102,32,132
19,100003,10103,33,133
20,100003,10104,34,134
21,100003,10105,35,135
22,100003,10106,36,136
23,100003,10107,37,137
24,100003,10108,38,138
25,100004,10101,41,141
26,100004,10102,42,142
27,100004,10103,43,143
28,100004,10104,44,144
29,100004,10105,45,145
30,100004,10106,46,146
31,100004,10107,47,147
32,100004,10108,48,148
33,100005,10101,51,151
34,100005,10102,52,152
35,100005,10103,53,153
36,100005,10104,54,154
37,100005,10105,55,155
38,100005,10106,56,156
39,100005,10107,57,157
40,100005,10108,58,158
41,100006,10101,61,161
42,100006,10102,62,162
43,100006,10103,63,163
44,100006,10104,64,164
45,100006,10105,65,165
46,100006,10106,66,166
47,100006,10107,67,167
48,100006,10108,68,168
49,100007,10101,71,171
50,100007,10102,72,172
51,100007,10103,73,173
52,100007,10104,74,174
53,100007,10105,75,175
54,100007,10106,76,176
55,100007,10107,77,177
56,100007,10108,78,178
57,100008,10101,81,181
58,100008,10102,82,182
59,100008,10103,83,183
60,100008,10104,84,184
61,100008,10105,85,185
62,100008,10106,86,186
63,100008,10107,87,187
64,100008,10108,88,188
65,100009,10101,91,191
66,100009,10102,92,192
67,100009,10103,93,193
68,100009,10104,94,194
69,100009,10105,95,195
70,100009,10106,96,196
71,100009,10107,97,197
72,100009,10108,98,198
73,100010,10101,101,201
74,100010,10102,102,202
75,100010,10103,103,203
76,100010,10104,104,204
77,100010,10105,105,205
78,100010,10106,106,206
79,100010,10107,107,207
80,100010,10108,108,208
81,100011,10101,111,211
82,100011,10102,112,212
83,100011,10103,113,213
84,100011,10104,114,214
85,100011,10105,115,215
86,100011,10106,116,216
87,100011,10107,117,217
88,100011,10108,118,218
89,100012,10101,121,221
90,100012,10102,122,222
91,100012,10103,123,223
92,100012,10104,124,224
93,100012,10105,125,225
94,100012,10106,126,226
95,100012,10107,127,227
96,100012,10108,128,228
97,100013,10101,131,231
98,100013,10102,132,232
99,100013,10103,133,233
100,100013,10104,134,234
101,100013,10105,135,235
102,100013,10106,136,236
103,100013,10107,137,237
104,100013,10108,138,238
105,100014,10101,141,241
106,100014,10102,142,242
107,100014,10103,143,243
108,100014,10104,144,244
109,100014,10105,145,245
110,100014,10106,146,246
111,100014,10107,147,247
112,100014,10108,148,248
113,100015,10101,151,251
114,100015,10102,152,252
115,100015,10103,153,253
116,100015,10104,154,254
117,100015,10105,155,255
118,100015,10106,156,256
119,100015,10107,157,257
120,100015,10108,158,258
121,100016,10101,161,261
122,100016,10102,162,262
123,100016,10103,163,263
124,100016,10104,164,264
125,100016,10105,165,265
126,100016,10106,166,266
127,100016,10107,167,267
128,100016,10108,168,268
129,100017,10101,171,271
130,100017,10102,172,272
131,100017,10103,173,273
132,100017,10104,174,274
133,100017,10105,175,275
134,100017,10106,176,276
135,100017,10107,177,277
136,100017,10108,178,278
137,100018,10101,181,281
138,100018,10102,182,282
139,100018,10103,183,283
140,100018,10104,184,284
141,100018,10105,185,285
142,100018,10106,186,286
143,100018,10107,187,287
144,100018,10108,188,288
145,100019,10101,191,291
146,100019,10102,192,292
147,100019,10103,193,293
148,100019,10104,194,294
149,100019,10105,195,295
150,100019,10106,196,296
151,100019,10107,197,297
152,100019,10108,198,298
153,100020,10101,201,301
154,100020,10102,202,302
155,100020,10103,203,303
156,100020,10104,204,304
157,100020,10105,205,305
158,100020,10106,206,306
159,100020,10107,207,307
160,100020,10108,208,308
161,100021,10101,211,311
162,100021,10102,212,312
163,100021,10103,213,313
164,100021,10104,214,314
165,100021,10105,215,315
166,100021,10106,216,316
167,100021,10107,217,317
168,100021,10108,218,318
169,100022,10101,221,321
170,100022,10102,222,322
171,100022,10103,223,323
172,100022,10104,224,324
173,100022,10105,225,325
174,100022,10106,226,326
175,100022,10107,227,327
176,100022,10108,228,328
177,100023,10101,231,331
178,100023,10102,232,332
179,100023,10103,233,333
180,100023,10104,234,334
181,100023,10105,235,335
182,100023,10106,236,336
183,100023,10107,237,337
184,100023,10108,238,338
185,100024,10101,241,341
186,100024,10102,242,342
187,100024,10103,243,343
188,100024,10104,244,344
189,100024,10105,245,345
190,100024,10106,246,346
191,100024,10107,247,347
192,100024,10108,248,348
193,100025,10101,251,351
194,100025,10102,252,352
195,100025,10103,253,353
196,100025,10104,254,354
197,100025,10105,255,355
198,100025,10106,256,356
199,100025,10107,257,357
200,100025,10108,258,358
201,100026,10101,261,361
202,100026,10102,262,362
203,100026,10103,263,363
204,100026,10104,264,364
205,100026,10105,265,365
206,100026,10106,266,366
207,100026,10107,267,367
208,100026,10108,268,368
209,100027,10101,271,371
210,100027,10102,272,372
211,100027,10103,273,373
212,100027,10104,274,374
213,100027,10105,275,375
214,100027,10106,276,376
215,100027,10107,277,377
216,100027,10108,278,378
217,100028,10101,281,381
218,100028,10102,282,382
219,100028,10103,283,383
220,100028,10104,284,384
