subjectID,subjectName,subjectDescription
7101,Science 7,
7102,Mathematics 7,
7103,English 7,
7104,Physical Education 7,
7105,Araling Panlipunan 7,
7106,Research 7,
7107,Edukasyon Sa Pagpapakatao 7,
7108,Filipino 8,
8101,Science 8,
8102,Mathematics 8,
8103,English 8,
8104,Physical Education 8,
8105,Araling Panlipunan 8,
8106,Research 8,
8107,Edukasyon Sa Pagpapakatao 8,
8108,Filipino 9,
9101,Science 9,
9102,Mathematics 9,
9103,English 9,
9104,Physical Education 9,
9105,Araling Panlipunan 9,
9106,Research 9,
9107,Edukasyon Sa Pagpapakatao 9,
9108,Filipino 9,
10101,Science 10,
10102,Mathematics 10,
10103,English 10,
10104,Physical Education 10,
10105,Araling Panlipunan 10,
10106,Research 10,
10107,Edukasyon Sa Pagpapakatao 10,
10108,Filipino 10,
