Model,Operacija,ProsjekMs,MedijanMs,MinMs,MaxMs,StdDevMs,P5Ms,P95Ms
Originalna,Insert,19.348,18.478,17.632,25.681,2.153,17.632,25.681
Originalna,Delete,11.949,11.611,10.207,14.358,1.443,10.207,14.358
Originalna,Update,12.047,12.093,9.072,13.009,0.944,9.072,13.009
Originalna,Select,0.798,0.610,0.561,4.421,0.358,0.571,1.417
Normalizirana,Insert,177.952,179.852,141.989,223.969,23.675,141.989,223.969
Normalizirana,Delete,40.896,41.166,37.753,48.684,2.646,37.753,48.684
Normalizirana,Update,7.958,8.034,7.346,9.302,0.447,7.346,9.302
Normalizirana,Select,0.380,0.379,0.172,0.965,0.108,0.175,0.546
Denormalizirana,Insert,181.145,181.888,153.737,217.161,19.603,153.737,217.161
Denormalizirana,Delete,54.598,54.283,51.916,58.015,2.042,51.916,58.015
Denormalizirana,Update,24.372,24.385,21.717,31.930,2.284,21.717,31.930
Denormalizirana,Select,0.130,0.101,0.100,0.868,0.074,0.100,0.224
